City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
416,Lorsch,DE,71.62,moderate rain,49.6547,8.5686,Hotel Bacchus
417,Mocoa,CO,72.19,overcast clouds,1.1493,-76.6466,selvamorena
423,Tecoanapa,MX,84.72,overcast clouds,16.5167,-98.75,Hotel Manglares
424,Rock Sound,BS,81.64,overcast clouds,24.9,-76.2,Rock Sound Club
426,Veraval,IN,84.02,scattered clouds,20.9,70.3667,Lords Inn Somnath
431,Redmond,US,85.05,scattered clouds,47.674,-122.1215,Seattle Marriott Redmond
432,Golden,US,89.56,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
435,Tabou,CI,76.96,light rain,4.423,-7.3528,hotêl doufoulougou
439,Manacor,ES,74.34,broken clouds,39.5696,3.2096,Hotel Can Guixa
440,Kapoeta,SS,76.48,overcast clouds,4.7717,33.5903,Eastgate Hotel
443,Salalah,OM,80.83,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
444,Luba,GQ,79.21,light rain,3.4568,8.5547,
449,Hagersville,CA,85.86,broken clouds,42.9668,-80.0497,
457,Bandarbeyla,SO,76.75,overcast clouds,9.4942,50.8122,JABIR HOTEL
458,Dubuque,US,74.55,scattered clouds,42.4833,-90.8668,American Inn and Suites
459,Taitung,TW,83.43,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
461,Kutum,SD,79.02,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
463,Paita,PE,70.18,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
464,Tura,IN,72.91,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
467,Bintulu,MY,75.47,overcast clouds,3.1667,113.0333,900 Boutique INN
468,Port-Gentil,GA,77.92,few clouds,-0.7193,8.7815,Fengshui Residence
475,Camalu,MX,72.37,few clouds,30.85,-116.0667,La Cueva del Pirata
476,Kampot,KH,82.45,broken clouds,10.6167,104.1833,Two Moons Hotel
477,Tumarbong,PH,78.13,heavy intensity rain,10.3766,119.4579,
480,Banda Aceh,ID,79.25,overcast clouds,5.5577,95.3222,Sulthan Hotel International
491,Barinitas,VE,81.3,overcast clouds,8.7622,-70.4111,Hotel- Posada Valle Esmeralda C.A
492,Sochaczew,PL,78.3,clear sky,52.2294,20.2384,Hotel Chopin Business & Spa
493,Yinchuan,CN,73.99,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
495,Porto Novo,BJ,77.14,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
496,Rochester,US,86.7,broken clouds,43.1548,-77.6156,Hyatt Regency Rochester
500,Williston,US,71.82,overcast clouds,48.147,-103.618,Hampton Inn & Suites Williston
501,Mogadishu,SO,77.02,scattered clouds,2.0371,45.3438,Hotel Juba
502,Mangrol,IN,84.4,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
504,Fort Nelson,CA,82.2,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
505,Kasongo-Lunda,CD,70.56,scattered clouds,-6.4667,16.8167,
510,Matara,LK,79.12,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
515,Dusseldorf,DE,74.68,few clouds,51.2217,6.7762,Breidenbacher Hof Düsseldorf
516,Tutoia,BR,79.79,scattered clouds,-2.7619,-42.2744,Pousada Guará's
519,Muriae,BR,75.42,scattered clouds,-21.1306,-42.3664,Premium Plaza Hotel
521,Monticello,US,71.82,overcast clouds,45.3055,-93.7941,Super 8 by Wyndham Monticello
525,Harper,LR,76.68,moderate rain,4.375,-7.7169,Screensaver
528,Nouakchott,MR,76.93,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
537,Erzin,TR,73.0,clear sky,36.9559,36.2,Artemis Otel
538,Hadrut,AZ,70.61,clear sky,39.52,47.0318,
542,Saint Anthony,US,71.65,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
543,Hambantota,LK,78.57,scattered clouds,6.1241,81.1185,Bungalow 63
