City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
168,Broome,US,2021-06-20 21:01:53,42.2506,-75.833,85.17,64,53,1.99,broken clouds
169,Tskaltubo,GE,2021-06-20 21:01:54,42.3254,42.5979,65.34,88,0,3.44,clear sky
170,Ankang,CN,2021-06-20 21:01:54,32.68,109.0172,64.51,73,89,0.76,overcast clouds
171,Inverell,AU,2021-06-20 20:59:33,-29.7833,151.1167,42.15,89,14,3.0,few clouds
172,Flinders,AU,2021-06-20 21:01:55,-34.5833,150.8552,52.21,93,98,9.15,overcast clouds
173,Corinto,GR,2021-06-20 21:01:55,37.9407,22.9573,80.76,69,8,3.2,clear sky
174,Upington,ZA,2021-06-20 21:01:55,-28.4478,21.2561,60.24,42,0,7.65,clear sky
175,Westport,US,2021-06-20 20:59:17,41.1415,-73.3579,89.06,68,52,1.01,broken clouds
176,Dilla,ET,2021-06-20 21:01:56,6.41,38.31,60.51,93,100,2.48,light rain
177,Pevek,RU,2021-06-20 21:01:56,69.7008,170.3133,42.75,74,23,5.41,few clouds
178,Aksu,CN,2021-06-20 21:01:57,41.1231,80.2644,69.37,40,68,2.44,broken clouds
179,Urengoy,RU,2021-06-20 21:01:57,65.9667,78.3667,42.6,71,36,8.77,scattered clouds
180,Husavik,IS,2021-06-20 21:01:57,66.0449,-17.3389,46.4,65,15,4.03,few clouds
181,Eyrarbakki,IS,2021-06-20 21:01:58,63.863,-21.1481,50.2,69,7,15.77,clear sky
182,Ketchikan,US,2021-06-20 21:01:58,55.3422,-131.6461,63.48,72,100,5.53,overcast clouds
183,Iquitos,PE,2021-06-20 21:01:58,-3.7481,-73.2472,82.98,72,56,1.99,moderate rain
184,Fairbanks,US,2021-06-20 21:00:00,64.8378,-147.7164,70.48,52,45,1.99,scattered clouds
185,Constitucion,CL,2021-06-20 21:01:59,-35.3333,-72.4167,54.41,70,100,9.4,overcast clouds
186,Myitkyina,MM,2021-06-20 21:01:59,25.3833,97.4,74.43,98,93,0.63,overcast clouds
187,Alugan,PH,2021-06-20 21:02:00,12.2188,125.4808,77.72,87,100,6.04,overcast clouds
188,Torquay,GB,2021-06-20 21:02:00,50.4638,-3.5143,61.86,90,100,5.99,overcast clouds
189,Moose Factory,CA,2021-06-20 21:02:00,51.2585,-80.6094,70.39,54,98,3.91,overcast clouds
190,Antsohihy,MG,2021-06-20 21:02:01,-14.8796,47.9875,71.44,60,21,11.3,few clouds
191,Port Blair,IN,2021-06-20 21:02:01,11.6667,92.75,82.69,78,53,12.48,broken clouds
192,Barrow,US,2021-06-20 21:02:01,71.2906,-156.7887,35.62,80,90,9.22,mist
193,Tessalit,ML,2021-06-20 21:02:01,20.1986,1.0114,96.82,11,73,5.03,broken clouds
194,Aklavik,CA,2021-06-20 21:02:02,68.2191,-135.0107,76.21,27,17,6.58,few clouds
195,Gao,ML,2021-06-20 21:02:02,16.6362,1.637,93.04,25,54,10.04,broken clouds
196,Takoradi,GH,2021-06-20 21:02:03,4.8845,-1.7554,76.69,88,100,10.47,moderate rain
197,Sur,OM,2021-06-20 21:02:03,22.5667,59.5289,86.77,62,30,13.06,scattered clouds
198,Rundu,NA,2021-06-20 21:02:03,-17.9333,19.7667,57.33,41,0,9.26,clear sky
199,Rocha,UY,2021-06-20 21:02:04,-34.4833,-54.3333,45.14,83,4,3.85,clear sky
200,Linxia,CN,2021-06-20 21:02:04,35.6003,103.2064,56.25,56,75,3.67,broken clouds
201,Talca,CL,2021-06-20 21:02:04,-35.4333,-71.6667,57.15,62,100,3.27,overcast clouds
202,Keffi,NG,2021-06-20 21:02:05,8.8486,7.8736,75.67,88,81,3.31,moderate rain
203,San Vicente,AR,2021-06-20 21:02:05,-26.6167,-54.1333,52.09,91,45,2.86,scattered clouds
204,Batagay,RU,2021-06-20 21:02:06,67.6333,134.6333,72.12,41,92,5.61,overcast clouds
205,Nizhniy Kuranakh,RU,2021-06-20 21:02:06,58.8353,125.4869,67.42,79,59,1.28,broken clouds
